"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node0.wang2978-test.uwmadison744-f22-pg0.wisc.cloudlab.us",,,,"User:","Yuhan"
"Cmdline:","dstat --output monitering2_1_wo_rep.csv",,,,"Date:","27 Sep 2022 22:40:20 CDT"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
6.187,0.618,90.444,2.649,0.103,4367876.726,5758609.254,0,0,3523.854,9113.074,1257.976,444.089
0,0,99.799,0.201,0,0,0,7140,1047,0,0,262,332
0,0,100,0,0,0,0,4980,384,0,0,270,333
0.200,0,99.599,0,0.200,0,0,4682,451,0,0,249,320
0,0,100,0,0,0,0,4188,451,0,0,251,326
0,0,100,0,0,0,0,4330,342,0,0,269,332
0,0,99.799,0.201,0,0,90112,5390,451,0,0,267,317
0,0,100,0,0,0,0,5656,451,0,0,257,306
0,0,99.800,0,0.200,0,0,4286,342,0,0,272,339
0,0,100,0,0,0,0,8302,451,0,0,266,320
0,0,100,0,0,0,0,5088,451,0,0,257,312
0,0,99.800,0,0.200,0,0,5255,643,0,0,284,326
0,0,99.799,0.201,0,0,188416,5118,451,0,0,279,326
0,0,100,0,0,0,0,4910,451,0,0,263,332
0,0,100,0,0,0,0,4902,342,0,0,275,328
0,0,99.799,0,0.201,0,0,6271,517,0,0,256,318
0,0,100,0,0,0,0,6253,517,0,0,251,302
0.200,0,99.400,0.400,0,0,81920,4154,342,0,0,287,362
0,0,99.800,0,0.200,0,0,4316,451,0,0,241,312
0,0,100,0,0,0,0,4916,451,0,0,258,312
0,0,100,0,0,0,0,4026,342,0,0,263,326
0,0,100,0,0,0,0,4942,451,0,0,250,308
0,0,100,0,0,0,0,5904,451,0,0,241,306
0,0.201,99.598,0.201,0,0,24576,4712,342,0,0,294,355
0,0,100,0,0,0,0,5756,451,0,0,250,314
0,0,99.800,0,0.200,0,0,5254,451,0,0,256,316
0,0,100,0,0,0,0,4194,342,0,0,254,314
0.201,0.602,96.988,2.209,0,2801664,0,5146,740,0,0,375,408
0,0,100,0,0,0,0,4639,451,0,0,280,342
0,0,99.799,0.201,0,0,32768,8858,444,0,0,306,350
0,0,100,0,0,0,0,6049,981,0,0,257,318
0,0,99.800,0,0.200,0,0,6036,517,0,0,243,311
0.200,0,99.800,0,0,0,8192,3857,342,0,0,257,336
0,0,100,0,0,0,0,4671,451,0,0,270,334
0,0,100,0,0,0,0,5167,451,0,0,260,314
0,0,99.399,0.401,0.200,0,24576,3642,342,0,0,265,336
0,0,100,0,0,0,0,6026,451,0,0,256,304
0,0,100,0,0,0,98304,4962,451,0,0,255,314
0,0,99.800,0,0.200,0,0,3840,342,0,0,275,340
0,0,100,0,0,0,0,4574,451,0,0,248,318
0,0,100,0,0,0,0,7334,451,0,0,263,310
0.201,0,99.398,0.402,0,0,24576,4242,342,0,0,291,346
0,0,99.800,0,0.200,0,0,6990,451,0,0,248,312
1,0.600,98.200,0.200,0,81920,90112,4858,451,40960,0,467,491
0,0,100,0,0,0,0,3654,358,0,0,256,338
0,0,99.800,0,0.200,0,0,6539,517,0,0,270,318
0,0,100,0,0,0,0,6911,517,0,0,261,307
2.222,0.404,89.495,7.879,0,1646592,114688,11009,12829,139264,0,704,674
1.992,1.195,80.080,16.534,0.199,11575296,0,5646,467,0,0,689,764
3.636,1.010,79.394,15.758,0.202,4235264,0,9712,982,0,0,874,1113
1.400,0.600,78.800,19.200,0,4620288,0,6268,2485,20480,0,618,754
1.815,0.202,79.435,18.347,0.202,10477568,0,4204,501,0,0,659,832
1.603,0.601,78.958,18.637,0.200,8052736,0,4638,451,0,0,660,866
1.202,0.601,78.557,19.439,0.200,7839744,753664,4477,342,0,0,659,805
1.008,0.403,79.435,19.153,0,6922240,0,4928,459,0,0,517,678
2.419,0.605,78.427,18.347,0.202,7774208,0,4799,7654,0,0,590,760
0.802,0.200,79.760,19.238,0,6103040,0,4664,444,0,0,484,663
0.806,0.202,79.637,19.153,0.202,7831552,0,4522,451,0,0,547,750
10.303,1.616,73.131,14.747,0.202,4308992,294912,4904,553,4096,0,1261,1637
13.996,1.826,74.442,9.533,0.203,4431872,0,7043,17823,0,0,1544,1452
8.889,2.020,76.768,12.121,0.202,5783552,0,26197,157302,106496,0,1281,1166
12.727,3.232,74.141,9.697,0.202,6520832,0,16199,82308,65536,0,1532,1451
9.514,2.024,76.518,11.741,0.202,3489792,0,5443,584,0,0,1175,1222
14.372,2.834,72.874,9.717,0.202,7241728,73728,4518,451,0,0,2079,2114
15.030,1.804,72.745,10.220,0.200,4325376,0,6504,459,0,0,1500,1410
15.524,2.419,76.613,5.242,0.202,7389184,0,4158,540,0,0,1668,1418
12.851,1.606,72.892,12.450,0.201,4939776,0,5400,451,0,0,1214,1172
14.315,2.823,73.589,9.073,0.202,4513792,0,5016,591,0,0,1880,1777
16.200,1.800,72.800,9,0.200,4923392,57344,9737,5357,0,0,1789,1648
30.120,4.418,58.635,6.627,0.201,5685248,0,9542,3065,36864,0,2285,2116
22.984,2.419,73.992,0.403,0.202,1064960,0,6263,2912,0,0,1328,979
4.628,2.616,92.354,0.402,0,180224,0,10233,4822,36864,0,1724,1772
0.200,0,99.800,0,0,0,0,5604,459,0,0,265,312
0,0,99.799,0,0.201,0,0,5374,583,0,0,271,333
0,0,99.399,0.601,0,0,212992,5252,342,0,0,300,355
0.200,0,99.599,0,0.200,0,0,6843,517,0,0,262,308
0,0,100,0,0,0,0,6387,517,0,0,243,314
0,0.200,99.800,0,0,0,0,5144,342,0,0,288,340
0,0,100,0,0,0,0,5492,451,0,0,257,312
0,0,99.800,0,0.200,0,0,4854,451,0,0,253,314
0,0,99.799,0.201,0,0,24576,7232,342,0,0,299,339
0,0,100,0,0,0,0,4368,451,0,0,253,320
0,0,99.800,0,0.200,0,0,5544,451,0,0,253,300
0,0.200,99.800,0,0,0,0,3672,342,0,0,259,333
0,0,100,0,0,0,0,4678,451,0,0,247,312
0,0,100,0,0,0,0,4520,451,0,0,240,315
0,0,99.598,0.402,0,0,24576,4924,342,0,0,286,340
0.200,0,99.800,0,0,0,0,4618,553,0,0,244,312
0,0,100,0,0,0,0,4598,907,0,0,252,314
0,0,99.800,0,0.200,0,180224,9564,342,0,0,317,345
0,0,100,0,0,0,0,6503,517,0,0,260,302
0,0,100,0,0,0,0,5671,517,0,0,255,330
0,0,99.799,0.201,0,0,57344,4864,342,0,0,281,354
0.200,0,99.800,0,0,0,0,4276,517,0,0,259,330
0,0,99.799,0,0.201,0,131072,5184,451,0,0,276,319
0.402,0,99.598,0,0,0,0,4924,342,0,0,281,330
0,0,100,0,0,0,0,5238,555,0,0,265,323
0,0.200,99.800,0,0,0,0,4434,451,0,0,243,314
0,0,99.799,0.201,0,0,32768,4280,342,0,0,279,355
1.002,0,98.798,0,0.200,0,0,5390,451,0,0,280,318
0,0,100,0,0,0,0,5024,493,0,0,252,314
0,0,100,0,0,0,0,5398,342,0,0,276,336
0,0,99.800,0,0.200,0,0,5370,451,0,0,251,310
4.008,0.401,94.589,1.002,0,385024,0,4990,451,192512,0,735,733
0,0,99.799,0.201,0,0,172032,6276,350,0,0,298,346
0,0,99.800,0,0.200,0,0,6059,517,0,0,258,316
0,0,100,0,0,0,0,6329,517,0,0,258,326
0,0,100,0,0,0,0,4462,342,0,0,265,324
0,0,99.800,0,0.200,0,0,4560,451,0,0,245,314
0,0,100,0,0,0,0,9568,451,0,0,279,324
0,0,99.598,0.402,0,0,24576,4096,342,0,0,274,346
0,0,100,0,0,0,0,4264,451,0,0,233,310
0,0,99.800,0,0.200,0,0,4796,451,0,0,244,314
0,0.200,99.800,0,0,16384,0,5045,342,8192,0,319,368
0,0,100,0,0,0,0,5540,459,0,0,257,310
0,0,100,0,0,0,0,5434,451,0,0,246,304
0,0,99.598,0.201,0.201,0,24576,3152,444,0,0,266,360
0,0,100,0,0,0,0,4030,915,0,0,237,312
0,0,100,0,0,0,0,4114,451,0,0,239,320
0,0,100,0,0,0,139264,3922,342,0,0,267,322
0,0,100,0,0,0,0,7283,517,0,0,246,318
0,0,100,0,0,40960,0,6005,517,20480,0,281,371
0.200,0,99.399,0.200,0.200,0,57344,4712,350,0,0,266,342
0,0.200,99.800,0,0,0,0,4114,451,0,0,257,330
0,0,100,0,0,0,0,4152,451,0,0,248,322
0,0,100,0,0,0,8192,2640,342,0,0,250,334
0,0,100,0,0,0,0,5270,451,0,0,243,312
0,0,100,0,0,0,0,4906,451,0,0,245,308
0,0,99.598,0.402,0,0,32768,3300,342,0,0,268,354
0,0,100,0,0,0,0,9276,451,0,0,263,304
0,0,100,0,0,0,73728,4068,451,0,0,240,309
0,0,99.799,0,0.201,0,0,4202,342,0,0,284,346
0,0,100,0,0,0,0,4624,451,0,0,232,304
0,0,100,0,0,0,0,5040,451,0,0,270,336
0,0,99.799,0.201,0,0,32768,3594,342,0,0,270,340
0,0,100,0,0,0,16384,6633,517,0,0,265,302
0,0,100,0,0,0,0,6541,517,0,0,256,322
0,0,99.800,0,0.200,0,0,4964,342,0,0,283,338
0,0,100,0,0,0,0,4940,451,0,0,256,320
0,0,100,0,0,0,0,4678,451,0,0,250,310
0,0,99.598,0.402,0,0,24576,4178,342,0,0,276,344
0,0,99.800,0,0.200,0,0,5170,451,0,0,261,320
0,0,100,0,0,0,0,7560,451,0,0,249,312
0,0,100,0,0,0,0,5742,342,0,0,288,340
0,0,99.800,0,0.200,0,0,5894,451,0,0,243,302
0,0,100,0,0,0,0,4308,553,0,0,244,322
0,0,99.799,0.201,0,0,24576,5398,798,0,0,284,344
0.200,0,99.800,0,0,0,0,4632,451,0,0,244,308
0,0.200,99.600,0,0.200,0,0,4846,451,0,0,251,314
0,0,100,0,0,0,0,9560,342,0,0,277,326
0,0,100,0,0,0,106496,5939,559,0,0,271,326
19.556,5.242,73.185,1.815,0.202,172032,0,11221,10927,86016,0,2783,2891
28,5.800,65,1,0.200,0,245760,7457,2427,0,0,2065,1626
40.281,4.409,54.910,0,0.401,0,0,4590,685,0,0,3055,2449
34.818,3.239,61.741,0,0.202,0,0,11496,10319,0,0,2507,1947
41,6.200,50,2.600,0.200,581632,0,31774,14391,0,0,2444,2275
21.095,3.245,69.980,5.477,0.203,3481600,81920,45133,2105,0,0,3087,3313
51.220,5.894,37.602,5.081,0.203,1695744,450560,5012,533,0,0,4797,5840
12.424,2.037,76.171,9.165,0.204,7086080,0,17209,107853,36864,0,1995,2031
14.400,2.600,72.600,10.200,0.200,3719168,0,7872,13057,0,0,1144,1074
34.004,2.213,61.569,2.012,0.201,2686976,8192,179147,224211,77824,0,4282,4304
0.201,0,99.799,0,0,16384,0,5782,2435,8192,0,322,400
3.414,0.201,95.984,0.201,0.201,0,73728,8000,1861,0,0,563,584
0,0.402,98.994,0.604,0,466944,73728,4676,553,233472,0,520,601
27.218,2.016,64.516,6.048,0.202,8503296,0,19051,3652,0,0,1685,1516
35.163,2.846,56.707,5.081,0.203,6029312,155648,42515,2199,0,0,2656,2237
3.012,0.402,95.984,0.402,0.201,5480448,0,7973,5592,0,0,769,749
0,0.402,99.598,0,0,0,0,5529,596,0,0,373,415
3.862,2.846,92.886,0.407,0,32768,114688,9184,4863,16384,0,1560,1660
0.201,0,99.598,0.201,0,24576,0,11529,733,12288,0,310,340
0,0,99.599,0.200,0.200,0,73728,3912,350,0,0,269,343
0,0,100,0,0,0,0,4948,451,0,0,251,302
0,0,100,0,0,0,0,4904,451,0,0,249,316
0,0.201,99.799,0,0,0,0,3882,342,0,0,301,381
0,0,99.599,0.401,0,0,131072,5427,553,0,0,275,326
0,0,99.800,0,0.200,0,0,4878,1075,0,0,257,320
0,0,100,0,0,0,0,4552,342,0,0,269,331
0,0.200,99.800,0,0,0,0,5032,451,0,0,247,312
2.414,0,96.579,0.805,0.201,278528,0,9274,3864,139264,0,511,558
4.008,0.401,89.980,5.611,0,9666560,0,5030,1911,4833280,0,567,731
0,0,99.799,0.201,0,0,32768,6171,525,0,0,264,324
0.200,0,99.600,0,0.200,0,204800,6131,517,0,0,277,341
0,0,100,0,0,0,0,6020,342,0,0,271,330
0.200,0,99.800,0,0,0,0,4464,451,0,0,257,340
0,0.200,99.800,0,0,0,0,5114,451,0,0,259,326
0,0,99.800,0,0.200,0,0,4044,342,0,0,258,324
0,0,99.598,0.402,0,0,106496,5122,451,0,0,265,317
0,0,99.798,0.202,0,98304,0,4426,451,49152,0,306,576
0,0,100,0,0,0,0,3912,350,0,0,273,348
0,0,99.800,0,0.200,0,0,10408,451,0,0,287,324
0,0,100,0,0,0,0,5164,451,0,0,254,306
0,0,99.197,0.803,0,0,122880,5196,342,0,0,291,341
0,0,100,0,0,0,0,4210,553,0,0,249,312
0.200,0.200,99.600,0,0,0,0,4348,451,0,0,265,347
0,0,100,0,0,0,0,4850,342,0,0,284,332
0,0,99.800,0,0.200,0,0,6519,517,0,0,248,304
0,0,100,0,0,0,24576,6085,517,0,0,252,318
0,0,99.799,0.201,0,0,24576,5182,342,0,0,298,356
0,0,99.800,0,0.200,0,0,5206,451,0,0,264,333
0,0,100,0,0,0,0,5426,451,0,0,256,311
0,0,100,0,0,0,0,5974,342,0,0,269,325
0,0,100,0,0,0,155648,4344,451,0,0,248,310
0,0,99.800,0,0.200,0,0,6194,493,0,0,259,310
0,0,99.799,0.201,0,0,24576,5500,444,0,0,324,370
0.200,0.200,99.600,0,0,0,0,5469,8118,0,0,287,344
0,0,99.800,0,0.200,0,0,4852,451,0,0,246,308
0.201,0.201,99.598,0,0,0,0,19868,128448,0,0,579,554
0.201,0.201,99.598,0,0,0,0,20065,126954,0,0,530,509
0,0,99.800,0,0.200,0,0,5372,451,0,0,267,330
0,0,99.799,0.201,0,0,24576,8778,342,0,0,297,346
0,0,100,0,0,0,0,5922,3035,0,0,249,314
0,0,100,0,0,0,0,8001,517,0,0,286,304
0,0,99.598,0.201,0.201,0,106496,5280,342,0,0,296,350
0,0,100,0,0,0,0,5198,451,0,0,285,344
0,0,100,0,0,0,0,5432,451,0,0,272,317
0,0,99.399,0.401,0.200,0,57344,4786,342,0,0,272,330
0,0,100,0,0,0,0,6842,451,0,0,250,298
0,0,100,0,0,0,0,5070,451,0,0,250,314
0,0.200,99.599,0,0.200,0,0,4552,342,0,0,280,343
0,0,100,0,0,0,0,6016,451,0,0,280,317
0,0,100,0,0,0,0,5686,517,0,0,273,312
0,0,99.799,0.201,0,0,24576,4844,342,0,0,287,338
0,0,99.800,0,0.200,0,8192,5382,451,0,0,267,314
0.202,0,99.395,0.403,0,573440,0,6154,451,286720,0,496,545
0,0,100,0,0,0,0,4992,350,0,0,279,336
0.200,0,99.600,0,0.200,0,0,7359,517,0,0,268,308
0,0.200,99.800,0,0,0,0,7055,517,0,0,259,309
0,0,99.598,0.402,0,0,122880,5462,342,0,0,299,345
0.200,0,99.600,0,0.200,0,0,5134,451,0,0,277,346
0,0,100,0,0,0,0,10404,451,0,0,275,324
0,0,100,0,0,0,0,4294,342,0,0,255,322
0,0,100,0,0,0,0,4842,451,0,0,243,298
0.601,0.401,98.798,0,0.200,0,0,33992,235825,0,0,842,736
1.406,0.201,97.992,0.402,0,16384,32768,8626,30448,8192,0,446,428
0,0,99.800,0,0.200,0,0,6149,467,0,0,264,308
0,0,100,0,0,0,0,5238,451,0,0,240,300
0,0.200,99.800,0,0,0,0,5090,342,0,0,258,326
0,0,100,0,0,0,81920,4565,822,0,0,263,329
0,0,99.599,0.200,0.200,0,32768,6108,13175,0,0,293,361
0,0,100,0,0,0,0,3448,342,0,0,255,332
0,0,100,0,0,0,0,6539,517,0,0,246,310
0,0,100,0,0,0,0,5307,517,0,0,250,324
0.200,0,99.800,0,0,0,147456,4494,342,0,0,276,339
0,0,100,0,0,0,0,3688,451,0,0,258,336
0,0,99.599,0.200,0.200,0,57344,4054,451,0,0,268,345
0,0,100,0,0,0,0,4262,474,0,0,270,330
0,0,100,0,0,0,0,5041,451,0,0,253,296
0,0,100,0,0,0,0,4542,451,0,0,243,308
0.201,0,99.799,0,0,0,0,6071,14612,0,0,317,368
0,0,100,0,0,0,0,7859,451,0,0,258,320
0,0,99.598,0.402,0,0,40960,4718,493,0,0,256,316
0,0,100,0,0,0,0,4096,342,0,0,264,317
0,0.200,99.800,0,0,0,0,4563,451,0,0,239,306
0,0.200,99.600,0,0.200,0,16384,4808,451,0,0,280,348
0,0,100,0,0,0,0,5171,516,0,0,278,328
0,0,100,0,0,0,0,6655,517,0,0,255,306
0,0,99.598,0.402,0,0,49152,8556,10097,0,0,291,331
0,0,100,0,0,0,0,4947,2737,0,0,277,340
0,0,99.800,0,0.200,0,24576,5369,451,0,0,279,331
0,0,100,0,0,0,0,4934,451,0,0,260,318
0.200,0.200,99.599,0,0,24576,0,3878,342,12288,0,271,329
0,0.201,99.799,0,0,0,0,5357,561,0,0,273,324
0,0.399,99.002,0.399,0.200,0,32768,5930,907,0,0,278,318
0.200,0,99.800,0,0,0,0,4478,342,0,0,292,354
0,0,100,0,0,0,0,5255,5241,0,0,256,316
0.201,0,99.799,0,0,0,0,6506,9166,0,0,296,324
0,0,100,0,0,0,0,4966,342,0,0,274,316
0,0,100,0,0,0,0,5455,451,0,0,260,300
0,0,99.598,0.402,0,0,81920,5320,451,0,0,284,337
0,0,100,0,0,0,0,11610,342,0,0,309,330
0,0,99.799,0,0.201,0,0,7038,517,0,0,263,312
0,0,100,0,0,0,0,6165,517,0,0,256,302
0.200,0.200,99.600,0,0,0,0,5906,2737,0,0,287,335
0,0,99.799,0.201,0,0,114688,5261,451,0,0,285,345
0,0,99.598,0.201,0.201,0,57344,4772,451,0,0,267,334
0,0,100,0,0,0,0,3940,342,0,0,257,334
0,0,100,0,0,0,0,4673,451,0,0,233,294
0,0,100,0,0,0,0,4578,451,0,0,248,316
0,0,100,0,0,0,0,4094,342,0,0,272,346
0,0,100,0,0,0,0,5469,451,0,0,251,314
0,0.200,99.399,0.200,0.200,0,32768,5612,517,0,0,282,334
0,0,100,0,0,0,0,5396,342,0,0,272,324
0.200,0.802,98.397,0.601,0,245760,106496,4860,451,0,0,377,399
0.402,0,99.197,0.201,0.201,630784,0,4806,459,315392,0,447,504
0,0,100,0,0,0,0,4872,350,0,0,266,333
0,0,100,0,0,0,0,5841,517,0,0,247,312
0,0,100,0,0,0,0,5991,517,0,0,244,300
0,0,100,0,0,0,0,3906,342,0,0,255,320
0,0,99.399,0.401,0.200,0,163840,4780,517,0,0,272,349
0,0,100,0,0,0,0,7624,451,0,0,261,324
0,0,100,0,0,0,0,3666,444,0,0,264,336
0.200,0,99.800,0,0,0,0,5086,907,0,0,250,298
0,0,100,0,0,0,0,6520,451,0,0,257,314
0.201,0,99.799,0,0,0,0,4214,342,0,0,302,375
0,0,99.599,0.200,0.200,0,24576,6119,451,0,0,264,318
0.803,1.406,90.161,7.631,0,11108352,0,8076,3311,0,0,747,714
3.421,5.030,76.861,14.286,0.402,21905408,0,5657,766,0,0,1776,1348
4.646,3.434,82.828,8.889,0.202,17375232,0,5658,2227,0,0,1848,1128
9.677,4.032,84.073,2.016,0.202,136306688,0,4568,451,0,0,1781,1080
5.242,6.653,87.097,0.806,0.202,8830976,0,4100,504,0,0,1058,781
0.601,0.401,97.395,1.603,0,983040,1097728,18416,2032,0,0,360,416
0,0,99.800,0,0.200,0,0,6841,525,0,0,265,326
0,0,100,0,0,0,0,5030,342,0,0,273,329
0,0,100,0,0,0,0,5450,859,0,0,311,372
0,0,98.189,1.811,0,0,1212416,6168,993,0,0,374,401
0,0,99.198,0.601,0.200,0,172032,4862,384,0,0,299,357
0,0,100,0,0,0,0,3926,451,0,0,231,294
