"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node0.wang2978-test.uwmadison744-f22-pg0.wisc.cloudlab.us",,,,"User:","Yuhan"
"Cmdline:","dstat --output monitering4_1.csv",,,,"Date:","28 Sep 2022 00:47:03 CDT"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
7.534,0.693,88.858,2.814,0.101,4596701.160,6587276.553,0,0,3559.258,8759.707,1320.580,465.309
0,0,100,0,0,0,0,3718,806,0,0,242,310
0,0,99.799,0,0.201,0,0,4714,451,0,0,287,358
0,0,100,0,0,0,0,4430,451,0,0,232,291
0,0,100,0,0,0,0,4886,342,0,0,235,300
0,0,100,0,0,0,0,4532,451,0,0,270,340
0,0,99.399,0.401,0.200,0,81920,6974,583,0,0,282,355
0,0,100,0,0,0,0,6902,342,0,0,258,310
0,0,100,0,0,0,0,4746,451,0,0,267,324
0,0,100,0,0,0,0,3906,451,0,0,231,306
0.200,0.401,98.597,0.601,0.200,163840,122880,3774,342,81920,0,391,463
0,0,100,0,0,0,0,4760,467,0,0,280,334
0,0,99.799,0.201,0,0,57344,4818,451,0,0,265,328
0,0,100,0,0,0,0,4454,342,0,0,240,298
0,0,100,0,0,0,0,7130,451,0,0,284,345
0,0,100,0,0,0,0,4324,451,0,0,246,316
0,0,99.800,0,0.200,0,0,4562,342,0,0,246,304
0,0,100,0,0,0,0,5022,451,0,0,271,330
0,0,99.799,0.201,0,0,24576,4984,451,0,0,266,340
0,0,100,0,0,0,0,4848,342,0,0,252,308
0.201,0,99.799,0,0,0,65536,4694,451,0,0,301,361
0,0,100,0,0,0,0,6676,583,0,0,262,326
0,0,100,0,0,0,0,4870,342,0,0,255,322
0,0.200,99.600,0,0.200,0,0,5904,451,0,0,289,326
0,0,99.599,0.401,0,0,32768,4448,451,0,0,253,316
0,0,100,0,0,0,0,5758,342,0,0,269,319
0.200,0,99.800,0,0,0,0,6000,451,0,0,289,338
0,0,100,0,0,0,0,8312,451,0,0,257,312
0,0,100,0,0,0,0,4258,384,0,0,240,296
0.200,0.200,99.401,0,0.200,0,0,5391,553,0,0,282,334
0,0,99.799,0.201,0,0,24576,5186,907,0,0,299,359
0,0,100,0,0,0,0,4840,342,0,0,252,304
0.200,0,99.600,0,0.200,0,0,4736,583,0,0,274,346
0,0,100,0,0,0,0,3824,451,0,0,222,298
0,0,100,0,0,0,0,6318,342,0,0,264,312
1.207,0,98.592,0.201,0,114688,0,4542,451,57344,0,304,349
0.200,0,99.399,0.200,0.200,0,40960,6944,591,0,0,275,344
0,0,100,0,0,0,0,6436,384,0,0,255,310
0,0,100,0,0,0,0,4258,451,0,0,267,338
0,0,100,0,0,0,0,5848,451,0,0,251,304
0,0.200,99.600,0,0.200,0,0,4452,474,0,0,262,326
0,0,99.398,0.602,0,0,139264,5082,451,0,0,315,374
0,0,100,0,0,0,0,4526,451,0,0,255,322
0.200,0,99.600,0,0.200,0,0,3820,342,0,0,227,296
0,0,100,0,0,0,0,4936,451,0,0,274,334
0,0,100,0,0,0,0,5674,451,0,0,261,326
0,0,99.800,0.200,0,0,57344,3812,342,0,0,249,332
0,0.201,99.799,0,0,0,0,7344,451,0,0,289,328
0,0,99.800,0,0.200,0,0,4632,451,0,0,237,300
0,0,100,0,0,0,0,5634,342,0,0,261,302
0,0,100,0,0,0,0,4872,451,0,0,290,364
0,0,100,0,0,0,0,7640,583,0,0,275,324
0,0,99.599,0.200,0.200,0,24576,5370,342,0,0,266,318
0,0,100,0,0,0,0,5830,451,0,0,285,322
